trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
233,False,"{'a': 0.5, 'e': 0.18099999999999994}",20,10,4.919919206481545,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.1775}",20,11,14.89818702432586,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.17399999999999993}",30,10,-26.070307201161263,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
236,False,"{'a': 0.5, 'e': 0.17049999999999998}",25,18,2.1487891755296316,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.16700000000000004}",25,1,35.77108313777214,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.16349999999999998}",20,10,19.377794553770833,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.16000000000000003}",35,17,6.427702121750392,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.15649999999999997}",20,8,11.309542872993372,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.15300000000000002}",25,10,15.20169055417151,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.14949999999999997}",20,0,22.463691749613215,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
243,False,"{'a': 0.5, 'e': 0.14600000000000002}",20,9,20.50288809355881,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.14249999999999996}",25,11,17.58007545780204,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.139}",20,6,23.749336879777207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.13549999999999995}",35,18,11.98554311755468,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.132}",35,14,35.822626160768564,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.12849999999999995}",20,8,9.836418116258132,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.125}",30,9,34.21991275174141,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.12149999999999994}",25,13,9.425543901022554,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.118}",20,6,14.952513170471422,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.11449999999999994}",25,13,22.30548948031406,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.11099999999999999}",20,4,17.69141776189644,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.10749999999999993}",25,16,16.865290892868327,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.10399999999999998}",20,8,21.591897090052075,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.10050000000000003}",35,16,37.73931568284953,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.09699999999999998}",20,11,18.397006914210053,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.09350000000000003}",25,3,-6.621212481973273,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
259,False,"{'a': 0.5, 'e': 0.08999999999999997}",20,6,1.86000417290778,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.08650000000000002}",30,13,31.710225249909588,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.08299999999999996}",25,20,8.846961960707597,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.07950000000000002}",30,13,-13.469721439348367,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.5, 'e': 0.07599999999999996}",25,20,8.302395203988253,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.07250000000000001}",20,0,19.885673170842832,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.06899999999999995}",20,11,16.01609841852223,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
